app_label,model,field_name,field_type,related_model,null,blank
admin,LogEntry,id,AutoField,,False,True
admin,LogEntry,action_time,DateTimeField,,False,False
admin,LogEntry,user,ForeignKey,auth.User,False,False
admin,LogEntry,content_type,ForeignKey,contenttypes.ContentType,True,True
admin,LogEntry,object_id,TextField,,True,True
admin,LogEntry,object_repr,CharField,,False,False
admin,LogEntry,action_flag,PositiveSmallIntegerField,,False,False
admin,LogEntry,change_message,TextField,,False,True
auth,Permission,group,ManyToManyField,auth.Group,True,
auth,Permission,user,ManyToManyField,auth.User,True,
auth,Permission,id,AutoField,,False,True
auth,Permission,name,CharField,,False,False
auth,Permission,content_type,ForeignKey,contenttypes.ContentType,False,False
auth,Permission,codename,CharField,,False,False
auth,Group,user,ManyToManyField,auth.User,True,
auth,Group,id,AutoField,,False,True
auth,Group,name,CharField,,False,False
auth,Group,permissions,ManyToManyField,auth.Permission,False,True
auth,User,logentry,ForeignKey,admin.LogEntry,True,
auth,User,roles_created,ForeignKey,core.Role,True,
auth,User,rolerequest,ForeignKey,core.RoleRequest,True,
auth,User,role_requests_reviewed,ForeignKey,core.RoleRequest,True,
auth,User,accesslog,ForeignKey,core.AccessLog,True,
auth,User,permission_matrices_created,ForeignKey,core.PermissionMatrix,True,
auth,User,temporaryaccessoverride,ForeignKey,core.TemporaryAccessOverride,True,
auth,User,granted_overrides,ForeignKey,core.TemporaryAccessOverride,True,
auth,User,revoked_overrides,ForeignKey,core.TemporaryAccessOverride,True,
auth,User,job_titles_created,ForeignKey,core.JobTitle,True,
auth,User,units_created,ForeignKey,core.Unit,True,
auth,User,evaluation_criteria_created,ForeignKey,core.EvaluationCriteria,True,
auth,User,production_stage_types_created,ForeignKey,core.ProductionStageType,True,
auth,User,risk_thresholds_created,ForeignKey,core.RiskThreshold,True,
auth,User,employee,OneToOneField,core.Employee,True,
auth,User,smartaccounttemplate,ForeignKey,core.SmartAccountTemplate,True,
auth,User,inventoryaudit,ForeignKey,inventory.InventoryAudit,True,
auth,User,discrepancy_reports,ForeignKey,inventory.InventoryDiscrepancyInvestigation,True,
auth,User,mediafile,ForeignKey,media.MediaFile,True,
auth,User,suspiciousactivity,ForeignKey,internal_monitoring.SuspiciousActivity,True,
auth,User,riskincident,ForeignKey,internal_monitoring.RiskIncident,True,
auth,User,reportlog,ForeignKey,internal_monitoring.ReportLog,True,
auth,User,disciplinaryaction,ForeignKey,internal_monitoring.DisciplinaryAction,True,
auth,User,actions_taken,ForeignKey,internal_monitoring.DisciplinaryAction,True,
auth,User,paymentorder,ForeignKey,accounting.PaymentOrder,True,
auth,User,aidecisionlog,ForeignKey,ai_decision.AIDecisionLog,True,
auth,User,clientaccess,OneToOneField,client_portal.ClientAccess,True,
auth,User,notifications,ForeignKey,notifications.Notification,True,
auth,User,offlinesynclog,ForeignKey,offline_sync.OfflineSyncLog,True,
auth,User,risk,ForeignKey,risk_management.Risk,True,
auth,User,chatthread,ManyToManyField,communication.ChatThread,True,
auth,User,message,ForeignKey,communication.Message,True,
auth,User,document,ForeignKey,document_center.Document,True,
auth,User,botmessage,ForeignKey,internal_bot.BotMessage,True,
auth,User,article,ForeignKey,knowledge_center.Article,True,
auth,User,rfq,ForeignKey,rfq.RFQ,True,
auth,User,employeeagreement,ForeignKey,work_regulations.EmployeeAgreement,True,
auth,User,id,AutoField,,False,True
auth,User,password,CharField,,False,False
auth,User,last_login,DateTimeField,,True,True
auth,User,is_superuser,BooleanField,,False,False
auth,User,username,CharField,,False,False
auth,User,first_name,CharField,,False,True
auth,User,last_name,CharField,,False,True
auth,User,email,CharField,,False,True
auth,User,is_staff,BooleanField,,False,False
auth,User,is_active,BooleanField,,False,False
auth,User,date_joined,DateTimeField,,False,False
auth,User,groups,ManyToManyField,auth.Group,False,True
